Index,Title,True_Label,Predicted_Label,Result
1,"Saudi Arabia says foils Islamic State bomb, foreign spying plots",Factual,Hoax,WRONG
2, GOP Just Demanded Hillary Clinton Give Them A ‘Plan’ To Fix Healthcare And Got ROASTED ALIVE (TWEETS),Hoax,Hoax,CORRECT
3,AUDIT REVEALS: 150 AFGHAN TROOPS Have Gone AWOL In U.S. During Training…Some Still Missing,Hoax,Hoax,CORRECT
4, Watch Elizabeth Warren DESTROY Donald Trump in Epic Tweetstorm (TWEETS),Hoax,Hoax,CORRECT
5,Mohammed Dahlan speaks about Palestinian unity and his back-room role,Factual,Factual,CORRECT
6,Democrats Won’t Have A Chance in 2018 Unless They Start to Do This,Hoax,Hoax,CORRECT
7, ‘F*cking Grow Up’: The Internet Destroys Trump After He Says He Would Have Won Against Obama,Hoax,Hoax,CORRECT
8,TRUMP ADVISOR Has Warning For Syria That Has Saved Lives [Video],Hoax,Hoax,CORRECT
9,South Korean inbound travel agency says China bans group tours to South,Factual,Hoax,WRONG
10,VALERIE JARRETT JUST MOVED INTO Barack And Michelle Obama’s DC Home…Plans To Help OUST Trump…ERIC HOLDER WARNS: “It’s coming…He’s coming…He’s ready to roll”,Hoax,Hoax,CORRECT
11,"Bahrain convicts activist's family members, militant suspects",Factual,Hoax,WRONG
12, Trump Stole An Idea From North Korean Propaganda Parody Account To Push His Stupid Wall (DETAILS),Hoax,Hoax,CORRECT
13,Myanmar's Rohingya exodus: A desperate escape,Factual,Factual,CORRECT
14,FORD’S NEW CEO SNUBS President Trump…Will Build Focus In China…Export To U.S.,Hoax,Hoax,CORRECT
15, Watch Elizabeth Warren Clobber Trump And Scott Brown: ‘Celebrity Apprentice Meets Biggest Loser’,Hoax,Hoax,CORRECT
16,WATCH: NY TOWN REJECTS Pledge Of Allegiance…”Total Waste Of Time”…Could Raise First Amendment Issues,Hoax,Factual,WRONG
17,NOT FUNNY! #PaulRyan Bashes Trump Last Night At Al Smith Dinner [Video],Hoax,Hoax,CORRECT
18,"Defying warnings, residents refuse to leave Mumbai's crumbling buildings",Factual,Hoax,WRONG
